country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,2011,female,55-74 years,72,5967658,1.21,Mexico2011,0.748,"1,180,489,563,964",10965,Boomers
Mexico,2011,male,5-14 years,140,11975964,1.17,Mexico2011,0.748,"1,180,489,563,964",10965,Generation Z
Mexico,2011,female,5-14 years,107,11496698,0.93,Mexico2011,0.748,"1,180,489,563,964",10965,Generation Z
Mexico,2011,female,75+ years,6,1727144,0.35,Mexico2011,0.748,"1,180,489,563,964",10965,Silent
Mexico,2012,male,75+ years,170,1283320,13.25,Mexico2012,0.754,"1,201,090,018,604",10982,Silent
Mexico,2012,male,15-24 years,1251,11427075,10.95,Mexico2012,0.754,"1,201,090,018,604",10982,Millenials
Mexico,2012,male,25-34 years,1013,9890969,10.24,Mexico2012,0.754,"1,201,090,018,604",10982,Millenials
Mexico,2012,male,35-54 years,1264,13980301,9.04,Mexico2012,0.754,"1,201,090,018,604",10982,Generation X
Mexico,2012,male,55-74 years,509,5778173,8.81,Mexico2012,0.754,"1,201,090,018,604",10982,Boomers
Mexico,2012,female,15-24 years,407,11076558,3.67,Mexico2012,0.754,"1,201,090,018,604",10982,Millenials
Mexico,2012,female,25-34 years,214,9801779,2.18,Mexico2012,0.754,"1,201,090,018,604",10982,Millenials
Mexico,2012,female,35-54 years,258,14755637,1.75,Mexico2012,0.754,"1,201,090,018,604",10982,Generation X
Mexico,2012,female,55-74 years,85,6214623,1.37,Mexico2012,0.754,"1,201,090,018,604",10982,Boomers
Mexico,2012,male,5-14 years,123,11945793,1.03,Mexico2012,0.754,"1,201,090,018,604",10982,Generation Z
Mexico,2012,female,5-14 years,79,11441953,0.69,Mexico2012,0.754,"1,201,090,018,604",10982,Generation Z
Mexico,2012,female,75+ years,8,1772584,0.45,Mexico2012,0.754,"1,201,090,018,604",10982,Silent
Mexico,2013,male,75+ years,161,1328764,12.12,Mexico2013,0.755,"1,274,443,078,609",11478,Silent
Mexico,2013,male,25-34 years,1151,10000769,11.51,Mexico2013,0.755,"1,274,443,078,609",11478,Millenials
Mexico,2013,male,15-24 years,1220,11520698,10.59,Mexico2013,0.755,"1,274,443,078,609",11478,Millenials
Mexico,2013,male,35-54 years,1469,14385858,10.21,Mexico2013,0.755,"1,274,443,078,609",11478,Generation X
Mexico,2013,male,55-74 years,565,5999782,9.42,Mexico2013,0.755,"1,274,443,078,609",11478,Boomers
Mexico,2013,female,15-24 years,392,11186604,3.5,Mexico2013,0.755,"1,274,443,078,609",11478,Millenials
Mexico,2013,female,25-34 years,212,9885421,2.14,Mexico2013,0.755,"1,274,443,078,609",11478,Millenials
Mexico,2013,female,35-54 years,263,15162201,1.73,Mexico2013,0.755,"1,274,443,078,609",11478,Generation X
Mexico,2013,female,55-74 years,94,6474009,1.45,Mexico2013,0.755,"1,274,443,078,609",11478,Boomers
Mexico,2013,female,75+ years,16,1815829,0.88,Mexico2013,0.755,"1,274,443,078,609",11478,Silent
Mexico,2013,male,5-14 years,102,11898580,0.86,Mexico2013,0.755,"1,274,443,078,609",11478,Generation Z
Mexico,2013,female,5-14 years,66,11378193,0.58,Mexico2013,0.755,"1,274,443,078,609",11478,Generation Z
Mexico,2014,male,75+ years,177,1376264,12.86,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Silent
Mexico,2014,male,15-24 years,1334,11603241,11.5,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Millenials
Mexico,2014,male,25-34 years,1140,10118932,11.27,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Millenials
Mexico,2014,male,35-54 years,1558,14784480,10.54,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Generation X
Mexico,2014,male,55-74 years,612,6228708,9.83,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Boomers
Mexico,2014,female,15-24 years,416,11280468,3.69,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Millenials
Mexico,2014,female,25-34 years,271,9978692,2.72,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Millenials
Mexico,2014,female,35-54 years,333,15556091,2.14,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Generation X
Mexico,2014,female,55-74 years,91,6743397,1.35,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Boomers
Mexico,2014,male,5-14 years,129,11844045,1.09,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Generation Z
Mexico,2014,female,5-14 years,109,11316008,0.96,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Generation Z
Mexico,2014,female,75+ years,8,1862263,0.43,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Silent
Costa Rica,2010,male,25-34 years,74,371498,19.92,Costa Rica2010,0.75,"37,268,635,287",8906,Generation X
Costa Rica,2010,male,35-54 years,106,581171,18.24,Costa Rica2010,0.75,"37,268,635,287",8906,Generation X
Costa Rica,2010,male,55-74 years,36,274921,13.09,Costa Rica2010,0.75,"37,268,635,287",8906,Silent
Costa Rica,2010,male,75+ years,7,57885,12.09,Costa Rica2010,0.75,"37,268,635,287",8906,Silent
Costa Rica,2010,male,15-24 years,40,420069,9.52,Costa Rica2010,0.75,"37,268,635,287",8906,Millenials
Costa Rica,2010,female,25-34 years,12,364253,3.29,Costa Rica2010,0.75,"37,268,635,287",8906,Generation X
Costa Rica,2010,female,35-54 years,16,592166,2.7,Costa Rica2010,0.75,"37,268,635,287",8906,Generation X
Costa Rica,2010,female,15-24 years,10,404425,2.47,Costa Rica2010,0.75,"37,268,635,287",8906,Millenials
Costa Rica,2010,female,55-74 years,5,287471,1.74,Costa Rica2010,0.75,"37,268,635,287",8906,Silent
Costa Rica,2010,male,5-14 years,5,386778,1.29,Costa Rica2010,0.75,"37,268,635,287",8906,Generation Z
Costa Rica,2010,female,5-14 years,0,369792,0.0,Costa Rica2010,0.75,"37,268,635,287",8906,Generation Z
Costa Rica,2010,female,75+ years,0,74234,0.0,Costa Rica2010,0.75,"37,268,635,287",8906,Silent
Costa Rica,2011,male,25-34 years,72,379928,18.95,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Millenials
Costa Rica,2011,male,75+ years,9,60741,14.82,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Silent
Costa Rica,2011,male,35-54 years,85,589634,14.42,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Generation X
Costa Rica,2011,male,55-74 years,40,285540,14.01,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Boomers
Costa Rica,2011,male,15-24 years,52,419970,12.38,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Millenials
Costa Rica,2011,female,15-24 years,20,404197,4.95,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Millenials
Costa Rica,2011,female,55-74 years,8,299105,2.67,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Boomers
Costa Rica,2011,female,35-54 years,14,600898,2.33,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Generation X
Costa Rica,2011,female,25-34 years,8,371907,2.15,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Millenials
Costa Rica,2011,male,5-14 years,5,381413,1.31,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Generation Z
Costa Rica,2011,female,75+ years,1,77576,1.29,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Silent
Costa Rica,2011,female,5-14 years,2,364605,0.55,Costa Rica2011,0.7559999999999999,"42,262,697,840",9978,Generation Z
Costa Rica,2012,male,35-54 years,94,598555,15.7,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Generation X
Costa Rica,2012,male,25-34 years,55,387974,14.18,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Millenials
Costa Rica,2012,male,15-24 years,58,419511,13.83,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Millenials
Costa Rica,2012,male,55-74 years,40,297364,13.45,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Boomers
Costa Rica,2012,male,75+ years,8,63663,12.57,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Silent
Costa Rica,2012,female,35-54 years,16,609857,2.62,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Generation X
Costa Rica,2012,female,15-24 years,10,403604,2.48,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Millenials
Costa Rica,2012,female,55-74 years,6,311981,1.92,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Boomers
Costa Rica,2012,female,25-34 years,7,379310,1.85,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Millenials
Costa Rica,2012,male,5-14 years,5,377001,1.33,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Generation Z
Costa Rica,2012,female,5-14 years,3,360319,0.83,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Generation Z
Costa Rica,2012,female,75+ years,0,81071,0.0,Costa Rica2012,0.7609999999999999,"46,473,128,286",10832,Silent
Costa Rica,2013,male,25-34 years,75,395371,18.97,Costa Rica2013,0.764,"49,745,088,112",11443,Millenials
Costa Rica,2013,male,75+ years,12,66659,18.0,Costa Rica2013,0.764,"49,745,088,112",11443,Silent
Costa Rica,2013,male,55-74 years,49,310249,15.79,Costa Rica2013,0.764,"49,745,088,112",11443,Boomers
Costa Rica,2013,male,35-54 years,82,607709,13.49,Costa Rica2013,0.764,"49,745,088,112",11443,Generation X
Costa Rica,2013,male,15-24 years,48,418437,11.47,Costa Rica2013,0.764,"49,745,088,112",11443,Millenials
Costa Rica,2013,female,25-34 years,11,386168,2.85,Costa Rica2013,0.764,"49,745,088,112",11443,Millenials
Costa Rica,2013,female,35-54 years,13,618837,2.1,Costa Rica2013,0.764,"49,745,088,112",11443,Generation X
Costa Rica,2013,female,15-24 years,8,402392,1.99,Costa Rica2013,0.764,"49,745,088,112",11443,Millenials
Costa Rica,2013,male,5-14 years,6,373658,1.61,Costa Rica2013,0.764,"49,745,088,112",11443,Generation Z
Costa Rica,2013,female,55-74 years,5,325956,1.53,Costa Rica2013,0.764,"49,745,088,112",11443,Boomers
Costa Rica,2013,female,75+ years,1,84743,1.18,Costa Rica2013,0.764,"49,745,088,112",11443,Silent
Costa Rica,2013,female,5-14 years,1,357050,0.28,Costa Rica2013,0.764,"49,745,088,112",11443,Generation Z
Costa Rica,2014,male,55-74 years,46,323941,14.2,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Boomers
Costa Rica,2014,male,35-54 years,76,616724,12.32,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Generation X
Costa Rica,2014,male,25-34 years,49,401836,12.19,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Millenials
Costa Rica,2014,male,15-24 years,43,416344,10.33,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Millenials
Costa Rica,2014,male,75+ years,6,69706,8.61,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Silent
Costa Rica,2014,female,25-34 years,12,392153,3.06,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Millenials
Costa Rica,2014,female,15-24 years,12,400170,3.0,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Millenials
Costa Rica,2014,female,75+ years,2,88574,2.26,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Silent
Costa Rica,2014,female,35-54 years,11,627502,1.75,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Generation X
Costa Rica,2014,female,55-74 years,5,340748,1.47,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Boomers
Costa Rica,2014,female,5-14 years,3,354701,0.85,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Generation Z
Costa Rica,2014,male,5-14 years,3,371275,0.81,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Generation Z
Norway,2010,male,75+ years,31,136494,22.71,Norway2010,0.94,"429,130,952,709",93638,Silent
Norway,2010,male,55-74 years,99,481582,20.56,Norway2010,0.94,"429,130,952,709",93638,Silent
Norway,2010,male,25-34 years,62,320142,19.37,Norway2010,0.94,"429,130,952,709",93638,Generation X
Norway,2010,male,35-54 years,132,709067,18.62,Norway2010,0.94,"429,130,952,709",93638,Generation X
Norway,2010,male,15-24 years,59,325364,18.13,Norway2010,0.94,"429,130,952,709",93638,Millenials
Norway,2010,female,35-54 years,68,674673,10.08,Norway2010,0.94,"429,130,952,709",93638,Generation X
Norway,2010,female,55-74 years,49,487412,10.05,Norway2010,0.94,"429,130,952,709",93638,Silent
Norway,2010,female,25-34 years,24,309282,7.76,Norway2010,0.94,"429,130,952,709",93638,Generation X
Norway,2010,female,75+ years,10,215798,4.63,Norway2010,0.94,"429,130,952,709",93638,Silent
Norway,2010,female,15-24 years,13,309730,4.2,Norway2010,0.94,"429,130,952,709",93638,Millenials
Norway,2010,male,5-14 years,1,313990,0.32,Norway2010,0.94,"429,130,952,709",93638,Generation Z
Norway,2010,female,5-14 years,0,299351,0.0,Norway2010,0.94,"429,130,952,709",93638,Generation Z
Norway,2011,male,75+ years,36,137152,26.25,Norway2011,0.941,"498,831,558,926",107430,Silent
Norway,2011,male,35-54 years,161,715422,22.5,Norway2011,0.941,"498,831,558,926",107430,Generation X
Norway,2011,male,25-34 years,73,326867,22.33,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2011,male,55-74 years,103,495066,20.81,Norway2011,0.941,"498,831,558,926",107430,Boomers
Norway,2011,male,15-24 years,58,332779,17.43,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2011,female,35-54 years,72,678645,10.61,Norway2011,0.941,"498,831,558,926",107430,Generation X
Norway,2011,female,55-74 years,39,499653,7.81,Norway2011,0.941,"498,831,558,926",107430,Boomers
Norway,2011,female,25-34 years,23,313943,7.33,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2011,female,15-24 years,20,316334,6.32,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2011,female,75+ years,6,214592,2.8,Norway2011,0.941,"498,831,558,926",107430,Silent
Norway,2011,female,5-14 years,4,299327,1.34,Norway2011,0.941,"498,831,558,926",107430,Generation Z
Norway,2011,male,5-14 years,3,313520,0.96,Norway2011,0.941,"498,831,558,926",107430,Generation Z
Norway,2012,male,75+ years,33,138390,23.85,Norway2012,0.9420000000000001,"510,229,136,227",108408,Silent
Norway,2012,male,35-54 years,148,721883,20.5,Norway2012,0.9420000000000001,"510,229,136,227",108408,Generation X
Norway,2012,male,25-34 years,61,336168,18.15,Norway2012,0.9420000000000001,"510,229,136,227",108408,Millenials
Norway,2012,male,55-74 years,81,508097,15.94,Norway2012,0.9420000000000001,"510,229,136,227",108408,Boomers
Norway,2012,male,15-24 years,45,338854,13.28,Norway2012,0.9420000000000001,"510,229,136,227",108408,Millenials
Norway,2012,female,35-54 years,60,682003,8.8,Norway2012,0.9420000000000001,"510,229,136,227",108408,Generation X
Norway,2012,female,75+ years,14,213622,6.55,Norway2012,0.9420000000000001,"510,229,136,227",108408,Silent
Norway,2012,female,15-24 years,21,321497,6.53,Norway2012,0.9420000000000001,"510,229,136,227",108408,Millenials
Norway,2012,female,55-74 years,33,511533,6.45,Norway2012,0.9420000000000001,"510,229,136,227",108408,Boomers
Norway,2012,female,25-34 years,17,321049,5.3,Norway2012,0.9420000000000001,"510,229,136,227",108408,Millenials
Norway,2012,female,5-14 years,1,299751,0.33,Norway2012,0.9420000000000001,"510,229,136,227",108408,Generation Z
Norway,2012,male,5-14 years,1,313738,0.32,Norway2012,0.9420000000000001,"510,229,136,227",108408,Generation Z
Norway,2013,male,75+ years,31,140291,22.1,Norway2013,0.9420000000000001,"523,502,127,660",109804,Silent
Norway,2013,male,35-54 years,154,727274,21.17,Norway2013,0.9420000000000001,"523,502,127,660",109804,Generation X
Norway,2013,male,55-74 years,92,520439,17.68,Norway2013,0.9420000000000001,"523,502,127,660",109804,Boomers
Norway,2013,male,25-34 years,56,345406,16.21,Norway2013,0.9420000000000001,"523,502,127,660",109804,Millenials
Norway,2013,male,15-24 years,44,342484,12.85,Norway2013,0.9420000000000001,"523,502,127,660",109804,Millenials
Norway,2013,female,35-54 years,75,685393,10.94,Norway2013,0.9420000000000001,"523,502,127,660",109804,Generation X
Norway,2013,female,55-74 years,52,522697,9.95,Norway2013,0.9420000000000001,"523,502,127,660",109804,Boomers
Norway,2013,female,25-34 years,24,329495,7.28,Norway2013,0.9420000000000001,"523,502,127,660",109804,Millenials
Norway,2013,female,15-24 years,20,324191,6.17,Norway2013,0.9420000000000001,"523,502,127,660",109804,Millenials
Norway,2013,female,75+ years,5,213383,2.34,Norway2013,0.9420000000000001,"523,502,127,660",109804,Silent
Norway,2013,male,5-14 years,1,315341,0.32,Norway2013,0.9420000000000001,"523,502,127,660",109804,Generation Z
Norway,2013,female,5-14 years,0,301211,0.0,Norway2013,0.9420000000000001,"523,502,127,660",109804,Generation Z
Norway,2014,male,75+ years,33,143089,23.06,Norway2014,0.9440000000000001,"499,338,534,779",103443,Silent
Norway,2014,male,55-74 years,110,532578,20.65,Norway2014,0.9440000000000001,"499,338,534,779",103443,Boomers
Norway,2014,male,35-54 years,147,732244,20.08,Norway2014,0.9440000000000001,"499,338,534,779",103443,Generation X
Norway,2014,male,25-34 years,71,353943,20.06,Norway2014,0.9440000000000001,"499,338,534,779",103443,Millenials
Norway,2014,male,15-24 years,38,344245,11.04,Norway2014,0.9440000000000001,"499,338,534,779",103443,Millenials
Norway,2014,female,55-74 years,51,533630,9.56,Norway2014,0.9440000000000001,"499,338,534,779",103443,Boomers
Norway,2014,female,35-54 years,51,688993,7.4,Norway2014,0.9440000000000001,"499,338,534,779",103443,Generation X
Norway,2014,female,25-34 years,20,337592,5.92,Norway2014,0.9440000000000001,"499,338,534,779",103443,Millenials
Norway,2014,female,15-24 years,17,325164,5.23,Norway2014,0.9440000000000001,"499,338,534,779",103443,Millenials
Norway,2014,female,75+ years,7,214335,3.27,Norway2014,0.9440000000000001,"499,338,534,779",103443,Silent
Norway,2014,male,5-14 years,2,317878,0.63,Norway2014,0.9440000000000001,"499,338,534,779",103443,Generation Z
Norway,2014,female,5-14 years,1,303487,0.33,Norway2014,0.9440000000000001,"499,338,534,779",103443,Generation Z
Italy,2010,male,75+ years,591,2295316,25.75,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Silent
Italy,2010,male,55-74 years,944,6491779,14.54,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Silent
Italy,2010,male,35-54 years,1098,9238959,11.88,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Generation X
Italy,2010,male,25-34 years,341,3839282,8.88,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Generation X
Italy,2010,male,15-24 years,144,3116429,4.62,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Millenials
Italy,2010,female,75+ years,161,3782232,4.26,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Silent
Italy,2010,female,55-74 years,294,7158216,4.11,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Silent
Italy,2010,female,35-54 years,292,9323044,3.13,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Generation X
Italy,2010,female,25-34 years,82,3781490,2.17,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Generation X
Italy,2010,female,15-24 years,31,2961065,1.05,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Millenials
Italy,2010,male,5-14 years,10,2906335,0.34,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Generation Z
Italy,2010,female,5-14 years,1,2743696,0.04,Italy2010,0.8690000000000001,"2,125,058,244,243",36869,Generation Z
Italy,2011,male,75+ years,664,2321431,28.6,Italy2011,0.873,"2,276,292,404,601",40210,Silent
Italy,2011,male,55-74 years,1000,6475532,15.44,Italy2011,0.873,"2,276,292,404,601",40210,Boomers
Italy,2011,male,35-54 years,1137,9024678,12.6,Italy2011,0.873,"2,276,292,404,601",40210,Generation X
Italy,2011,male,25-34 years,316,3578660,8.83,Italy2011,0.873,"2,276,292,404,601",40210,Millenials
Italy,2011,male,15-24 years,169,3033825,5.57,Italy2011,0.873,"2,276,292,404,601",40210,Millenials
Italy,2011,female,75+ years,162,3786565,4.28,Italy2011,0.873,"2,276,292,404,601",40210,Silent
Italy,2011,female,55-74 years,294,7136949,4.12,Italy2011,0.873,"2,276,292,404,601",40210,Boomers
Italy,2011,female,35-54 years,303,9218793,3.29,Italy2011,0.873,"2,276,292,404,601",40210,Generation X
Italy,2011,female,25-34 years,59,3576333,1.65,Italy2011,0.873,"2,276,292,404,601",40210,Millenials
Italy,2011,female,15-24 years,43,2887985,1.49,Italy2011,0.873,"2,276,292,404,601",40210,Millenials
Italy,2011,male,5-14 years,4,2864380,0.14,Italy2011,0.873,"2,276,292,404,601",40210,Generation Z
Italy,2011,female,5-14 years,2,2705018,0.07,Italy2011,0.873,"2,276,292,404,601",40210,Generation Z
Italy,2012,male,75+ years,604,2382354,25.35,Italy2012,0.872,"2,072,823,157,060",36497,Silent
Italy,2012,male,55-74 years,993,6523579,15.22,Italy2012,0.872,"2,072,823,157,060",36497,Boomers
Italy,2012,male,35-54 years,1215,9068194,13.4,Italy2012,0.872,"2,072,823,157,060",36497,Generation X
Italy,2012,male,25-34 years,329,3519920,9.35,Italy2012,0.872,"2,072,823,157,060",36497,Millenials
Italy,2012,male,15-24 years,179,3031610,5.9,Italy2012,0.872,"2,072,823,157,060",36497,Millenials
Italy,2012,female,75+ years,175,3849653,4.55,Italy2012,0.872,"2,072,823,157,060",36497,Silent
Italy,2012,female,55-74 years,317,7188550,4.41,Italy2012,0.872,"2,072,823,157,060",36497,Boomers
Italy,2012,female,35-54 years,325,9251393,3.51,Italy2012,0.872,"2,072,823,157,060",36497,Generation X
Italy,2012,female,25-34 years,68,3504130,1.94,Italy2012,0.872,"2,072,823,157,060",36497,Millenials
Italy,2012,female,15-24 years,44,2883565,1.53,Italy2012,0.872,"2,072,823,157,060",36497,Millenials
Italy,2012,female,5-14 years,4,2718455,0.15,Italy2012,0.872,"2,072,823,157,060",36497,Generation Z
Italy,2012,male,5-14 years,4,2873682,0.14,Italy2012,0.872,"2,072,823,157,060",36497,Generation Z
Italy,2013,male,75+ years,625,2471260,25.29,Italy2013,0.873,"2,130,491,320,659",37050,Silent
Italy,2013,male,55-74 years,1039,6636981,15.65,Italy2013,0.873,"2,130,491,320,659",37050,Boomers
Italy,2013,male,35-54 years,1162,9207071,12.62,Italy2013,0.873,"2,130,491,320,659",37050,Generation X
Italy,2013,male,25-34 years,342,3500820,9.77,Italy2013,0.873,"2,130,491,320,659",37050,Millenials
Italy,2013,male,15-24 years,147,3051918,4.82,Italy2013,0.873,"2,130,491,320,659",37050,Millenials
Italy,2013,female,75+ years,181,3943123,4.59,Italy2013,0.873,"2,130,491,320,659",37050,Silent
Italy,2013,female,55-74 years,333,7290449,4.57,Italy2013,0.873,"2,130,491,320,659",37050,Boomers
Italy,2013,female,35-54 years,335,9372465,3.57,Italy2013,0.873,"2,130,491,320,659",37050,Generation X
Italy,2013,female,25-34 years,66,3469280,1.9,Italy2013,0.873,"2,130,491,320,659",37050,Millenials
Italy,2013,female,15-24 years,49,2892351,1.69,Italy2013,0.873,"2,130,491,320,659",37050,Millenials
Italy,2013,male,5-14 years,7,2915569,0.24,Italy2013,0.873,"2,130,491,320,659",37050,Generation Z
Italy,2013,female,5-14 years,4,2752044,0.15,Italy2013,0.873,"2,130,491,320,659",37050,Generation Z
Italy,2014,male,75+ years,670,2566489,26.11,Italy2014,0.873,"2,151,732,868,243",37035,Silent
Italy,2014,male,55-74 years,947,6738488,14.05,Italy2014,0.873,"2,151,732,868,243",37035,Boomers
Italy,2014,male,35-54 years,1123,9296191,12.08,Italy2014,0.873,"2,151,732,868,243",37035,Generation X
Italy,2014,male,25-34 years,300,3494152,8.59,Italy2014,0.873,"2,151,732,868,243",37035,Millenials
Italy,2014,male,15-24 years,170,3066963,5.54,Italy2014,0.873,"2,151,732,868,243",37035,Millenials
Italy,2014,female,35-54 years,371,9446533,3.93,Italy2014,0.873,"2,151,732,868,243",37035,Generation X
Italy,2014,female,75+ years,158,4042740,3.91,Italy2014,0.873,"2,151,732,868,243",37035,Silent
Italy,2014,female,55-74 years,275,7381373,3.73,Italy2014,0.873,"2,151,732,868,243",37035,Boomers
Italy,2014,female,25-34 years,75,3445649,2.18,Italy2014,0.873,"2,151,732,868,243",37035,Millenials
Italy,2014,female,15-24 years,46,2894944,1.59,Italy2014,0.873,"2,151,732,868,243",37035,Millenials
Italy,2014,female,5-14 years,7,2778922,0.25,Italy2014,0.873,"2,151,732,868,243",37035,Generation Z
Italy,2014,male,5-14 years,5,2948232,0.17,Italy2014,0.873,"2,151,732,868,243",37035,Generation Z
France,2010,male,75+ years,1354,2081818,65.04,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent
France,2010,male,35-54 years,3118,8518205,36.6,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation X
France,2010,male,55-74 years,1956,6187723,31.61,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent
France,2010,male,25-34 years,805,3829316,21.02,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation X
France,2010,female,75+ years,464,3538923,13.11,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent
France,2010,female,55-74 years,889,6785286,13.1,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent
